State,District,Market,Commodity,Variety,Arrival_Date,Min Price,Max Price,Modal Price
Bihar,Gaya,Tekari,Raddish,Raddish,03/09/2022,2400,3000,2700
Bihar,Gaya,Tekari,Sponge gourd,Sponge gourd,03/09/2022,2200,2600,2400
Bihar,Gaya,Tekari,Tomato,Deshi,03/09/2022,3500,4500,4000
Bihar,Kaimur/Bhabhua,Kaimur,Bhindi(Ladies Finger),Bhindi,03/09/2022,1400,1500,1450
Bihar,Kaimur/Bhabhua,Kaimur,Bottle gourd,Bottle Gourd,03/09/2022,1300,1400,1350
Bihar,Kaimur/Bhabhua,Kaimur,Brinjal,Arkasheela Mattigulla,03/09/2022,2100,2200,2150
Bihar,Kaimur/Bhabhua,Kaimur,Garlic,Average,03/09/2022,2600,2800,2700
Bihar,Kaimur/Bhabhua,Kaimur,Sponge gourd,Sponge gourd,03/09/2022,1350,1450,1400
Bihar,Kaimur/Bhabhua,Mohana,Bhindi(Ladies Finger),Bhindi,03/09/2022,1500,1700,1600
Bihar,Kaimur/Bhabhua,Mohana,Bitter gourd,Bitter Gourd,03/09/2022,1700,1900,1800
Bihar,Kaimur/Bhabhua,Mohana,Bottle gourd,Bottle Gourd,03/09/2022,1400,1600,1500
Bihar,Kaimur/Bhabhua,Mohana,Brinjal,Brinjal,03/09/2022,2000,2200,2100
Bihar,Kaimur/Bhabhua,Mohana,Sponge gourd,Other,03/09/2022,1200,1400,1300
Bihar,Luckeesarai,Lakhisarai,Brinjal,Arkasheela Mattigulla,03/09/2022,1010,1050,1030
Bihar,Luckeesarai,Lakhisarai,Capsicum,Capsicum,03/09/2022,6800,6950,6900
Bihar,Luckeesarai,Lakhisarai,Cauliflower,African Sarson,03/09/2022,3700,3800,3750
Bihar,Luckeesarai,Lakhisarai,Green Chilli,Green Chilly,03/09/2022,2600,3400,2700
Bihar,Luckeesarai,Lakhisarai,Onion,1st Sort,03/09/2022,1380,1410,1400
Bihar,Luckeesarai,Lakhisarai,Potato,(Red Nanital),03/09/2022,1680,1710,1690
Bihar,Luckeesarai,Surjyagarha,Brinjal,Arkasheela Mattigulla,03/09/2022,1015,1060,1040
Bihar,Luckeesarai,Surjyagarha,Capsicum,Capsicum,03/09/2022,6820,6890,6870
Bihar,Luckeesarai,Surjyagarha,Green Chilli,Green Chilly,03/09/2022,2620,2650,2635
Bihar,Luckeesarai,Surjyagarha,Onion,1st Sort,03/09/2022,1400,1480,1440
Bihar,Luckeesarai,Surjyagarha,Potato,(Red Nanital),03/09/2022,1700,1770,1735
Bihar,Luckeesarai,Surjyagarha,Tomato,Deshi,03/09/2022,3800,3900,3850
Bihar,Madhubani,Benipatti,Bhindi(Ladies Finger),Bhindi,03/09/2022,1900,2100,2000
Bihar,Madhubani,Benipatti,Cucumbar(Kheera),Cucumbar,03/09/2022,3500,3700,3600
Bihar,Madhubani,Benipatti,Green Chilli,Green Chilly,03/09/2022,2400,2600,2500
Bihar,Madhubani,Benipatti,Onion,Bombay (U.P.),03/09/2022,1700,1800,1750
Bihar,Madhubani,Benipatti,Potato,(Red Nanital),03/09/2022,1600,1800,1700
Bihar,Madhubani,Benipatti,Tomato,Deshi,03/09/2022,4900,5100,5000
Bihar,Madhubani,Madhubani,Bhindi(Ladies Finger),Bhindi,03/09/2022,900,1200,1000
Bihar,Madhubani,Madhubani,Onion,Nasik,03/09/2022,1800,2000,1900
Bihar,Madhubani,Madhubani,Pointed gourd (Parval),Pointed gourd (Parval),03/09/2022,3200,3600,3400
Bihar,Madhubani,Madhubani,Sponge gourd,Other,03/09/2022,1200,1500,1300
Bihar,Munghair,Munghair,Bhindi(Ladies Finger),Bhindi,03/09/2022,1100,1200,1100
Bihar,Munghair,Munghair,Bottle gourd,Bottle Gourd,03/09/2022,1200,1400,1200
Bihar,Munghair,Munghair,Brinjal,Arkasheela Mattigulla,03/09/2022,1600,2000,1800
Bihar,Munghair,Munghair,Cucumbar(Kheera),Cucumbar,03/09/2022,3000,3200,3100
Bihar,Munghair,Munghair,Onion,1st Sort,03/09/2022,2200,2400,2200
Bihar,Munghair,Munghair,Pointed gourd (Parval),Other,03/09/2022,3200,3400,3200
Bihar,Munghair,Munghair,Potato,(Red Nanital),03/09/2022,2300,2400,2400
Bihar,Munghair,Munghair,Raddish,Other,03/09/2022,2200,2400,2400
Bihar,Munghair,Munghair,Tomato,Deshi,03/09/2022,3600,3600,3600
Bihar,Muzaffarpur,Bhagwanpur Mandi,Onion,1st Sort,03/09/2022,1400,1600,1500
Bihar,Muzaffarpur,Bhagwanpur Mandi,Potato,(Red Nanital),03/09/2022,1300,1500,1400
Bihar,Nawada,Nawada,Bhindi(Ladies Finger),Bhindi,03/09/2022,1100,1200,1150
Bihar,Nawada,Nawada,Brinjal,Other,03/09/2022,1350,1500,1400
Bihar,Nawada,Nawada,Pointed gourd (Parval),Other,03/09/2022,1400,1500,1450
Bihar,Nawada,Nawada,Sponge gourd,Other,03/09/2022,1100,1150,1125
Bihar,Nawada,Rajauli,Bhindi(Ladies Finger),Bhindi,03/09/2022,2500,3000,2800
Bihar,Nawada,Rajauli,Onion,1st Sort,03/09/2022,2000,2200,2100
Bihar,Nawada,Rajauli,Potato,(Red Nanital),03/09/2022,1800,2000,1900
Bihar,Rohtas,Dehri,Brinjal,Arkasheela Mattigulla,03/09/2022,3400,3600,3500
Bihar,Rohtas,Dehri,Onion,1st Sort,03/09/2022,1450,1650,1550
Bihar,Rohtas,Dehri,Potato,(Red Nanital),03/09/2022,1500,1700,1600
Bihar,Rohtas,Dehri,Tomato,Deshi,03/09/2022,3200,3400,3300
Bihar,Rohtas,Sasaram,Bottle gourd,Bottle Gourd,03/09/2022,1200,1600,1400
Bihar,Rohtas,Sasaram,Brinjal,Arkasheela Mattigulla,03/09/2022,1800,2200,2000
Bihar,Rohtas,Sasaram,Capsicum,Capsicum,03/09/2022,6500,7500,7000
Bihar,Saharsa,Saharsa,Bhindi(Ladies Finger),Bhindi,03/09/2022,500,700,600
Bihar,Saharsa,Saharsa,Bitter gourd,Bitter Gourd,03/09/2022,1000,1200,1100
Bihar,Saharsa,Saharsa,Brinjal,Brinjal,03/09/2022,700,900,800
Bihar,Saharsa,Saharsa,Cabbage,Cabbage,03/09/2022,2200,2400,2300
Bihar,Saharsa,Saharsa,Cauliflower,Cauliflower,03/09/2022,5000,6000,5500
Bihar,Saharsa,Saharsa,Onion,Onion,03/09/2022,1500,1600,1550
Bihar,Saharsa,Saharsa,Potato,Potato,03/09/2022,1600,1700,1650
Bihar,Samastipur,Samastipur,Bhindi(Ladies Finger),Bhindi,03/09/2022,400,600,500
Bihar,Samastipur,Samastipur,Brinjal,Arkasheela Mattigulla,03/09/2022,500,700,600
Bihar,Samastipur,Samastipur,Cauliflower,African Sarson,03/09/2022,4000,4500,4200
Bihar,Samastipur,Samastipur,Green Chilli,Green Chilly,03/09/2022,2500,3500,3000
Bihar,Samastipur,Samastipur,Onion,Onion,03/09/2022,1500,1700,1600
Bihar,Samastipur,Samastipur,Tomato,Deshi,03/09/2022,3500,3800,3600
Bihar,Sheikhpura,Barbigha,Bhindi(Ladies Finger),Bhindi,03/09/2022,750,850,800
Bihar,Sheikhpura,Barbigha,Bottle gourd,Bottle Gourd,03/09/2022,800,900,850
Bihar,Sheikhpura,Barbigha,Cucumbar(Kheera),Cucumbar,03/09/2022,1800,2000,1900
Bihar,Sheikhpura,Barbigha,Onion,1st Sort,03/09/2022,1300,1500,1400
Bihar,Sheikhpura,Barbigha,Wheat,147 Average,03/09/2022,2200,2400,2300
Bihar,Sheohar,Sheohar,Bitter gourd,Bitter Gourd,03/09/2022,2500,3000,2700
Bihar,Sheohar,Sheohar,Bottle gourd,Bottle Gourd,03/09/2022,500,700,600
Bihar,Sheohar,Sheohar,Brinjal,Brinjal,03/09/2022,1500,2000,1700
Bihar,Sheohar,Sheohar,Cauliflower,African Sarson,03/09/2022,4000,4500,4200
Bihar,Sheohar,Sheohar,Onion,1st Sort,03/09/2022,1600,1800,1700
Bihar,Sheohar,Sheohar,Potato,(Red Nanital),03/09/2022,1800,2000,1900
Bihar,Sheohar,Sheohar,Tomato,Deshi,03/09/2022,3500,4000,3700
Bihar,Siwan,Siwan,Cucumbar(Kheera),Cucumbar,03/09/2022,2200,2500,2300
Bihar,Siwan,Siwan,Green Chilli,Green Chilly,03/09/2022,1000,1500,1200
Bihar,Siwan,Siwan,Onion,Other,03/09/2022,1700,1800,1750
Bihar,Siwan,Siwan,Potato,Potato,03/09/2022,1650,1750,1700
Bihar,Siwan,Siwan,Sponge gourd,Sponge gourd,03/09/2022,1000,1200,1100
Bihar,Siwan,Siwan,Tomato,Tomato,03/09/2022,3000,3500,3200
Bihar,Supaul,Birpur,Brinjal,Other,03/09/2022,2700,2900,2800
Bihar,Supaul,Supaul,Bhindi(Ladies Finger),Bhindi,03/09/2022,1400,1600,1500
Bihar,Supaul,Supaul,Brinjal,Brinjal,03/09/2022,1600,2000,1800
Bihar,Supaul,Supaul,Cucumbar(Kheera),Cucumbar,03/09/2022,2500,3800,3200
Bihar,Supaul,Supaul,Onion,Onion,03/09/2022,1900,2100,2000
Bihar,Supaul,Supaul,Pointed gourd (Parval),Pointed gourd (Parval),03/09/2022,2500,3500,3200
Bihar,Supaul,Supaul,Potato,Potato,03/09/2022,1800,2000,1900
Bihar,Vaishali,Hajipur,Onion,Other,03/09/2022,1300,1500,1400
Bihar,Vaishali,Hajipur,Potato,Other,03/09/2022,1300,1400,1350
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Bhindi(Ladies Finger),Bhindi,03/09/2022,900,1100,1000
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Bitter gourd,Bitter Gourd,03/09/2022,1300,1500,1400
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Bottle gourd,Bottle Gourd,03/09/2022,800,1000,900
Bihar,Vaishali,"Parsoniya Mandi, Mahua block",Brinjal,Round/Long,03/09/2022,1100,1300,1200
